Genotype,Regeneration Diameter
wt,274.43
wt,231.38
wt,403.84
wt,206.14
wt,214.88
wt,315.68
wt,236.59
wt,306.27
wt,153.47
wt,263.92
wt,294.71
wt,190.8
wt,285.61
wt,207.9
wt,285.29
wt,139.73
wt,330.53
wt,159.91
wt,269.89
wt,304.47
wt,287.26
wt,184.96
wt,293.13
wt,296.55
wt,192.68
wt,303.85
wt,0
wt,283.27
wt,61.45
wt,253.79
wt,125.84
wt,208.94
wt,263.76
wt,366.53
wt,267.51
wt,347.39
wt,318.89
RorD26,254.84
RorD26,255.41
RorD26,251.2
RorD26,173.75
RorD26,33.72
RorD26,229.07
RorD26,143.3
RorD26,274.73
RorD26,229.08
RorD26,34.33
RorD26,34.46
RorD26,45.7
RorD26,277.44
RorD26,244.72
RorD26,10.38
RorD26,226.75
RorD26,37
RorD26,342.45
RorD26,212.57
RorD26,263.8
RorD26,27.64
RorD26,266.14
RorD26,257.86
RorD26,124.2
RorD26,126.29
RorD26,234.98
RorD26,12.51
RorD26,258.15
RorD26,26.95
RorD26,30.48
RorD26,30.5
RorD26,36.78
RorD26,29.83
RorD26,238.14
